,Barridas ganadas,Intercepciones,Despejes,Despejes por alto,Regateado,Error que llevó al gol,Errores que terminan el disparo,Posesiones ganadas en el último tercio,Faltas cometidas,Barridas totales
3687,2,0,4,,1,,,,3,3
3693,1,0,1,,0,,,,0,1
3697,1,1,11,,0,,,,0,1
3698,0,0,6,,2,,,,3,0
3701,0,0,0,,0,,,,0,0
3704,0,0,3,,0,,,,0,0
3706,0,0,6,,0,,,,2,0
3707,1,0,2,,0,1,,,1,1
3712,1,1,2,,2,,,,2,1
3718,0,0,4,,0,,,,1,0
3719,1,0,1,,0,,,,0,1
3720,1,1,1,,0,,,,2,1
3724,0,0,6,,0,,,,1,0
3728,1,0,0,,1,,,,3,2
3735,2,0,2,,0,,,,0,4
3737,0,0,1,,0,,,,0,0
3738,0,0,0,,0,,,,0,0
3739,1,1,0,,1,,,1,0,2
3741,2,2,3,,0,,,1,0,2
3750,2,0,5,,0,,,,0,2
3751,0,1,4,,0,,,,1,0
3752,1,3,3,,0,,,,0,1
3753,3,1,4,,2,,,,0,4
3757,1,0,3,,1,,,,0,2
3758,1,0,1,,0,,,,0,1
3761,0,0,4,,0,,,,2,0
3766,0,0,1,,0,,,,0,0
3779,0,2,6,,0,,,,2,0
3781,0,1,1,,0,,,,0,0
3782,1,1,2,,0,,,1,1,1
3785,2,0,2,,1,,,,0,4
3788,1,0,3,,0,,,,4,2
3790,2,1,0,,0,,,,2,3
3796,1,2,8,,0,,,,3,1
3800,3,0,5,,0,,,,2,4
3801,0,0,4,,1,,,,2,0
3803,1,0,4,,1,,,,2,1
3804,0,1,2,,1,1,,,0,0
3814,0,1,1,,0,,,,2,0
3815,2,0,1,,0,,,,1,3
3816,3,2,4,,0,,,,0,3
3817,0,0,0,,0,,,,0,0
3819,0,1,0,,0,,,,0,0
3823,1,0,1,,2,,,1,2,1
3827,2,0,1,,0,,,,1,2
3828,0,2,3,,1,,,,2,0
3832,0,1,0,,1,,,1,2,0
3833,0,0,2,,0,,,,2,0
3838,3,2,3,,0,,,,0,3
3840,1,2,4,,1,,,,1,1
3841,0,1,4,,0,,,,1,0
3842,1,3,8,,0,,,,2,1
3846,1,1,8,,1,,,,0,1
3854,0,2,2,,0,,,,1,0
3855,2,0,3,,1,,,,3,2
3857,0,0,1,,0,,,,0,0
3859,0,1,0,,1,,1,,1,0
3861,2,0,1,,1,,,,1,4
3862,2,1,3,,0,,1,,1,3
3863,0,2,4,,0,,,,0,0
3864,0,2,7,,1,,,,0,0
3865,2,0,2,,0,,,,0,2
3868,0,0,0,,1,,,,2,0
3875,0,2,1,,2,,,,0,0
3876,0,0,0,,0,,,,0,0
3877,0,1,3,,1,,,1,1,0
3880,0,0,0,,0,,,,0,0
3882,1,1,5,,2,,,,0,1
3893,1,0,1,,0,,,1,0,1
3895,4,2,1,,2,,,,0,5
3903,1,1,4,,0,,,,2,1
3904,1,2,3,,0,,,,1,1
3908,2,0,11,,1,,,,0,2
3909,0,0,0,,0,,,,0,0
3911,3,0,5,,1,,,,1,5
3913,0,0,1,,0,,,,0,0
3914,1,2,2,,1,,,,1,1
3917,1,4,2,,1,,,1,1,1
3918,1,2,4,,0,,,,0,1
3926,1,2,5,,0,,,,2,1
3927,2,0,6,,0,,,,0,3
3928,0,0,0,,0,,,,0,0
3929,0,0,4,,0,,,,0,0
3933,0,0,0,,0,,,,0,0
3934,0,2,0,,0,1,,,2,0
3935,0,0,1,,1,,,,0,0
3945,3,3,4,,0,,,,2,5
3946,0,0,1,,0,,,1,2,0
3951,2,1,1,,1,,,,0,6
3954,0,0,3,,1,,,,0,0
3955,0,1,2,,1,,,,2,0
3968,0,3,1,,2,,,,0,0
3970,2,3,6,,2,,,,2,2
3971,2,2,9,,0,,,,0,2
3974,1,2,1,,0,,,1,3,1
3976,2,1,1,,1,,,,2,2
3977,7,2,1,,0,,,,3,7
3978,0,0,0,,1,,,,3,0
3979,2,0,0,,0,,,,0,3
3985,0,0,3,,0,,,,1,0
3989,0,0,0,,0,,,,0,0
3991,2,2,0,,1,,,,1,3
3992,3,1,8,,0,,,,0,4
3996,1,1,0,,2,,,,3,1
4001,0,0,1,,1,,,,1,0
4003,0,0,1,,0,,,,1,0
4004,2,2,3,,0,,,,1,3
4006,2,0,2,,0,,,,0,2
4007,0,2,4,,0,,,,2,0
4009,2,0,5,,1,,,,1,2
4011,1,3,4,,1,,,2,0,2
4012,0,1,1,,1,,,,0,0
4020,0,0,0,,0,,,,2,0
4021,0,0,1,,0,,,,2,0
4023,0,0,1,,1,,,,0,0
4024,2,0,2,,0,,,,0,2
4029,1,2,5,,0,,,,1,1
4034,4,2,6,,1,,,1,0,5
4035,3,0,7,,0,,,1,2,3
4037,0,0,0,,0,,,,0,0
4040,0,0,0,,1,,1,,1,0
4044,0,0,2,,0,,,,0,0
4047,1,1,5,,1,,,1,2,1
4048,0,1,6,,0,,,,1,0
4051,1,1,2,,0,,,,1,2
4052,1,1,0,,0,,,,1,1
4058,1,0,3,,0,,,,0,1
4061,1,2,2,,1,,,,1,1
4063,0,0,2,,1,,,,0,0
4066,1,1,1,,1,,,,4,1
4069,0,1,5,,2,,,,2,0
4071,0,0,1,,0,,,,0,0
4072,0,0,1,,0,,,,0,0
4073,2,0,0,,0,,,,2,2
4084,0,0,5,,0,,,,1,0
4085,0,1,0,,1,,,,1,0
4088,1,0,5,,0,,,,3,3
4090,0,0,3,,0,,,,0,0
4092,1,0,0,,1,,,,0,1
4094,1,0,2,,1,,,,2,2
4097,0,0,0,,1,,,,0,0
4101,2,1,3,,0,,,,1,3
4106,1,1,3,,0,,1,,1,3
4109,1,1,0,,3,,,1,2,2
4110,0,0,1,,0,,,1,0,0
4116,1,0,0,,0,,,,0,1
4117,1,0,4,,0,,,2,0,1
4118,3,2,4,,2,,,,0,4
4128,0,0,0,,1,,,,2,0
4130,0,0,5,,0,,,,0,0
4133,1,2,3,,2,,,,1,1
4135,5,1,0,,1,,,,1,6
4136,0,0,0,,0,,,,0,0
4137,0,0,0,,1,,,,1,0
4142,0,1,0,,0,,,,1,0
4146,0,0,1,,0,,,,0,0
4147,0,0,8,,0,,,1,0,0
4149,0,3,7,,0,,,,0,0
4151,0,0,0,,1,,,,0,0
4154,1,4,3,,2,,,,0,1
4159,2,1,1,,0,,,,0,2
4162,2,2,2,,1,,,,1,2
4167,0,0,2,,0,,,,1,0
4170,2,2,3,,0,,,,1,3
4171,0,0,2,,2,,,,1,0
4175,2,1,2,,1,,,,0,2
4179,0,0,0,,1,,,1,1,0
4180,0,0,5,,0,,,,1,0
4181,0,3,1,,1,,,,1,0
4184,2,0,2,,1,,,,2,2
4186,1,0,3,,0,,,,1,2
4188,0,0,0,,0,,,,0,0
4190,1,1,3,,2,,,,2,2
4191,1,1,4,,0,,,,1,1
4192,0,0,1,,0,,,,1,0
4200,3,0,3,,1,,,,1,3
4206,1,0,1,,0,,,,0,1
4210,0,1,1,,1,,,,0,0
4212,0,2,0,,0,,,,0,0
4215,6,2,3,,3,,,,1,6
4217,0,0,0,,0,,,,0,0
4220,1,0,0,,3,,,1,1,3
4222,0,1,6,,1,,,,0,0
4230,2,1,4,,1,,,,1,4
4231,0,0,0,,0,,,,2,0
4233,2,4,2,,1,,,,2,4
4240,1,1,1,,1,,,,0,1
4242,1,0,0,,0,,,,0,3
4244,1,2,6,,1,,1,,2,1
4245,0,0,0,,0,,,,1,0
4249,0,1,5,,0,,,,0,0
4250,1,4,1,,3,,,,2,3
4251,2,3,2,,1,,,,1,4
4253,0,2,7,,0,,,1,1,0
4255,0,1,3,,1,,,,1,0
4263,1,5,4,,0,,,,0,1
4264,1,3,1,,0,,,,0,1
4270,2,0,0,,1,,,,1,2
4272,0,0,0,,0,,,,0,0
4276,0,2,13,,0,,,,0,0
4281,1,1,1,,0,,,,0,1
4286,0,2,1,,0,,,,1,0
4287,0,4,6,,2,1,,,0,0
4288,1,0,0,,0,,,1,0,1
4289,0,3,0,,0,,,,0,0
4290,2,0,0,,1,,,,5,4
4291,3,3,12,,4,,1,,1,5
4295,0,1,3,,1,,,,0,0
4306,1,1,2,,2,,,,1,1
4308,0,0,4,,1,,,,1,0
4315,0,0,4,,0,,,,1,0
4318,1,0,2,,0,,,,0,1
4319,1,1,6,,0,,,,1,1
4321,0,1,0,,0,,,,1,0
4325,0,0,0,,0,,,,0,0
4326,0,1,4,,2,,,,2,0
4331,1,1,1,,0,,,1,1,3
4340,1,2,0,,0,,,,0,1
4342,0,0,0,,0,,,1,0,0
4343,0,0,2,,1,,,,1,0
4344,1,0,6,,0,,1,,1,1
4351,1,0,1,,3,,,,0,2
4352,1,1,0,,0,,,,1,4
4358,0,0,3,,0,,,,1,0
4363,0,1,2,,0,,,,0,0
4364,0,1,0,,0,,,,2,0
4367,2,1,1,,0,,,,2,3
4368,0,0,2,,0,,,,0,0
4369,0,0,2,,0,,,,2,0
4373,0,0,1,,0,,,,1,0
4376,3,1,0,,0,,,1,0,3
4378,0,2,4,,0,,,,0,0
4379,0,0,3,,0,,,,1,0
4380,1,0,4,,0,,,1,0,1
4384,1,0,1,,0,,,,1,1
4389,1,4,11,,0,,,,1,1
4390,1,0,3,,0,,,,2,1
4395,2,1,0,,1,,,,3,4
4398,0,2,3,,0,,,,0,0
4400,0,2,4,,0,,,,1,0
4401,0,2,3,,2,,,,1,0
4409,2,1,1,,0,1,,1,0,3
4413,1,3,2,,0,,,,0,2
4417,0,1,3,,2,,,1,2,0
4426,0,2,2,,0,,,,1,0
4427,2,3,3,,1,,,,0,2
4428,4,3,4,,2,,,,2,5
4429,1,1,1,,0,,,,1,2
4430,1,1,4,,0,,,,0,2
4432,0,1,2,,1,,,,0,0
4433,0,0,4,,1,,,,1,0
4434,2,1,1,,1,,,1,0,3
4437,0,0,1,,1,,,,2,0
4439,1,1,2,,0,,,,1,1
4442,0,0,1,,0,,,2,1,0
4444,1,0,2,,0,,,,0,1
4450,0,0,1,,0,,,,0,0
4455,2,0,6,,0,,,,1,2
4457,0,0,2,,0,,,,0,0
4459,0,1,2,,2,,,,3,0
4466,2,0,1,,0,,,,1,2
4471,0,0,2,,0,,,,0,0
4472,1,0,4,,0,,,,1,1
4475,0,0,6,,0,,,,0,0
4476,0,0,2,,0,,,,3,0
4480,3,0,2,,1,,,,2,4
4485,1,3,2,,1,,,,6,2
4486,0,0,3,,0,,,,0,0
4492,0,0,1,,0,,,,0,0
4497,2,1,3,,0,,,1,1,4
4505,0,0,0,,0,,,,0,0
4508,0,1,7,,0,,,,2,0
4510,1,0,0,,0,,,,1,1
4511,1,0,3,,0,,,,0,1
4515,2,0,7,,0,,,,3,3
4517,0,0,2,,0,,,,0,0
4519,1,2,4,,1,,,,2,1
4524,0,4,5,,0,,,,0,0
4527,0,1,4,,0,,,,0,0
4528,2,1,2,,2,,,,1,2
4529,1,0,3,,2,,,1,4,2
4531,4,2,3,,2,,,,2,4
4537,1,2,1,,2,,,,2,1
4542,3,0,7,,0,,,,2,3
4548,1,2,3,,0,,,,0,1
4550,2,1,9,,0,,,,1,3
4554,4,2,5,,0,,,,0,5
4558,2,0,4,,3,,,,1,2
4559,0,1,1,,1,,,,1,0
4564,1,0,0,,0,,,,0,2
4567,1,0,3,,0,,,,0,1
4570,0,2,5,,0,,1,,1,0
4572,2,1,2,,1,,,,2,2
4573,2,0,1,,1,,,,1,2
4574,0,2,3,,0,,,,0,0
4577,6,2,2,,4,,,,1,7
4580,0,0,2,,0,,,,3,0
4591,0,2,8,,0,,,,2,0
4592,1,1,4,,0,,,,2,1
4600,2,2,8,,3,,,,2,2
4604,2,0,1,,0,,,,0,2
4608,0,2,2,,3,,,,2,0
4613,0,2,1,,1,,,,0,0
4617,1,0,5,,0,,,,2,2
4618,1,2,3,,0,1,,1,4,1
4619,0,0,0,,0,,,,0,0
4622,1,0,2,,0,,,,1,1
4627,1,0,2,,1,,,,1,2
4633,1,1,7,,1,,,,0,3
4639,3,2,2,,0,,,,0,4
4642,0,0,0,,0,,,2,0,0
4643,1,1,7,,1,,,,1,1
4644,1,1,2,,1,,,,1,3
4645,0,0,0,,0,,,,1,0
4646,2,2,2,,0,,,,0,2
4647,0,1,6,,0,,,,3,0
4651,0,0,0,,0,,,,2,0
4653,1,0,0,,0,,,,0,1
4657,0,1,0,,1,,,1,0,0
4658,3,1,1,,0,,,1,0,5
4661,1,1,4,,1,,,,2,4
4669,0,0,6,,1,,,,2,0
4672,2,1,2,,0,,,,1,2
4673,1,0,3,,1,,,,2,1
4674,3,0,0,,0,,,,1,5
4677,0,0,0,,0,,,,0,0
4679,2,0,1,,1,,,,3,2
4681,0,2,1,,0,,,,1,0
4683,0,0,0,,0,,,,0,0
4688,0,0,10,,0,,,,1,0
4693,0,1,8,,0,,,,1,0
4699,1,2,2,,0,,,,0,2
4700,0,1,4,,1,,,,0,0
4704,0,2,2,,2,,,,0,0
4705,1,1,2,,0,,,,0,2
4706,0,0,0,,0,,,,0,0
4708,0,0,7,,0,,,,1,0
4714,0,2,0,,0,,,,0,0
4715,0,0,6,,0,,,,1,0
4716,3,3,4,,0,,,,2,4
4730,1,1,0,,0,,,,0,2
4731,1,1,0,,1,,,,1,2
4733,0,0,0,,0,,,,0,0
4734,0,1,1,,0,,1,,2,0
4736,0,2,0,,0,,,,0,0
4737,2,0,3,,0,,,,0,2
4738,2,0,5,,0,,,,0,2
4743,0,1,1,,0,,,,0,0
4745,0,0,6,,0,,,,0,0
4746,1,0,5,,0,,,,1,1
4749,0,1,2,,0,,,,0,0
4751,0,0,7,,2,,,,0,0
4752,0,0,1,,0,,,,1,0
4754,0,0,5,,0,,,,4,0
4755,2,0,6,,1,,,,1,2
4758,0,1,0,,0,,,,0,0
4761,1,0,3,,0,,,,1,1
4769,1,1,4,,2,,1,,3,3
4777,2,1,1,,1,,,,0,4
4778,1,1,2,,1,,,,3,1
4779,3,1,0,,1,,,,0,3
4783,0,0,0,,0,,,,0,0
4785,0,0,2,,0,,,,0,0
4786,0,0,5,,0,,,,0,0
4791,0,1,7,,0,,,,0,0
4794,1,0,3,,0,,,,0,4
4801,2,2,2,,0,,,,3,4
4804,0,2,1,,0,,,,0,0
4807,0,1,7,,0,,,,0,0
4809,1,0,5,,0,,,,1,1
4810,1,3,4,,1,,,,0,1
4823,2,2,8,,3,,,,0,2
4826,0,2,6,,0,,1,,1,0
4828,3,0,2,,0,1,,,1,3
4829,1,2,2,,1,,,,3,2
4830,0,1,0,,0,,,,0,0
4833,0,1,2,,2,,,,0,0
4844,0,0,2,,1,,,,0,0
4848,0,1,4,,0,,,,0,0
4849,2,0,3,,0,,,,1,2
4850,1,1,1,,0,,1,,0,3
4851,0,0,5,,0,,,,1,0
4855,0,0,8,,0,,,,1,0
4861,2,0,2,,0,,,,1,3
4862,0,0,2,,0,,,,0,0
4865,3,1,2,,0,,,,2,3
4866,1,0,2,,1,,1,,1,1
4874,0,0,10,,0,,,,0,0
4875,0,1,8,,0,,,,2,0
4881,1,1,4,,0,,1,,1,1
4882,0,1,12,,0,,,,3,0
4888,3,0,3,,1,,,,0,4
4890,2,0,7,,2,,,,1,2
4892,1,3,6,,0,,,,3,1
4895,2,2,2,,0,,,,0,2
4901,1,1,4,,0,,,,1,2
4904,3,1,2,,1,,1,,0,3
4908,0,0,13,,1,,,,0,0
4909,1,0,4,,0,,,,1,1
4910,0,0,6,,2,,,1,2,0
4913,0,0,5,,0,,,,1,0
4916,0,1,2,,0,,,,0,0
4921,3,0,3,,2,,,,0,4
4925,1,1,6,,0,,,,0,3
4927,0,1,7,,0,,,,0,0
4928,0,0,4,,2,1,,,1,0
4934,0,1,4,,0,,,,0,0
4935,1,0,0,,0,,1,,1,2
4936,0,3,3,,0,,,,2,0
4940,2,1,3,,0,,,,1,3
4944,0,0,0,,0,,,,1,0
4946,0,1,1,,0,1,,,0,0
4952,0,0,0,,0,,,1,1,0
4958,0,0,3,,0,,,,1,0
4960,0,0,1,,0,,,,0,0
4961,0,0,0,,0,,,,1,0
4963,1,0,8,,0,,,,0,1
4966,1,0,2,,0,,,,2,3
4969,0,0,0,,0,,,,0,0
4970,1,0,6,,1,,,,2,1
4974,2,1,1,,1,,,,1,4
4977,2,1,5,,0,,,1,4,2
4980,0,1,4,,0,,,,0,0
4987,1,2,6,,1,,1,,1,2
4990,0,1,2,,0,,,,1,0
4992,1,3,1,,0,,,,1,1
4994,2,1,1,,0,,,,1,2
4996,0,0,1,,0,,,,0,0
5000,0,2,2,,0,,,,1,0
5001,0,3,4,,0,,,,0,0
5002,0,0,2,,0,,,,0,0
5010,1,2,4,,0,,,,1,1
5016,1,0,1,,0,,,,0,1
5017,2,0,1,,1,,,,5,2
5020,4,2,4,,0,,,,0,4
5028,0,0,7,,1,,1,,0,0
5031,0,2,5,,1,,,,0,0
5034,0,0,4,,0,,,,1,0
5035,2,0,3,,0,,,,0,2
5036,1,0,0,,0,,,,4,1
5038,0,0,1,,2,,,,1,0
5043,1,1,3,,1,,,,0,1
5051,3,3,1,,1,,,,0,3
5053,1,1,4,,0,,,,0,1
5054,1,1,1,,0,,,1,1,1
5057,0,1,5,,1,,,,1,0
5059,0,0,0,,0,,,,0,0
5060,0,0,2,,0,,,,1,0
5062,0,0,1,,0,,,,0,0
5064,2,1,8,,0,,,,2,2
5068,1,0,2,,0,,,,0,3
5071,0,0,0,,0,,,1,1,0
5075,6,0,3,,3,,1,,2,9
5080,2,0,4,,1,,,,1,2
5084,0,2,4,,0,,,,0,0
5085,1,0,10,,0,,,,0,3
5094,0,2,11,,0,,,,2,0
5096,0,0,4,,1,,,,1,0
5097,1,0,2,,0,,,,1,2
5098,1,2,5,,1,,,,2,1
5103,2,2,3,,0,,,,1,2
5104,2,1,6,,0,,,,1,3
5105,1,0,1,,0,,,1,1,1
5112,2,0,3,,1,,,,2,3
5115,1,0,1,,0,,,,0,2
5121,0,1,6,,0,,1,,1,0
5126,1,0,2,,0,,,1,0,1
5127,2,2,0,,1,,,,2,2
5134,1,0,9,,0,,,,1,3
5138,0,0,0,,1,,,,0,0
5139,0,0,1,,0,,,2,0,0
5141,0,2,3,,2,,,,1,0
5145,0,0,3,,1,,,,0,0
5146,1,0,1,,0,,,,0,1
5147,0,1,0,,1,,,,0,0
5149,3,5,2,,0,,,,0,3
5150,1,1,4,,0,,,,0,1
5151,4,0,0,,0,,,,1,5
5160,3,1,6,,0,,,,3,4
5162,1,1,6,,1,,,,2,1
5163,1,0,0,,0,,,,1,1
5164,2,1,3,,2,,,,1,3
5167,2,3,3,,2,,,,3,3
5170,1,1,1,,0,,,,3,1
5180,0,0,1,,0,,,1,0,0
5182,0,0,3,,1,,,,0,0
5187,1,0,7,,0,,,,1,1
5190,1,2,3,,0,,,1,0,1
5191,1,0,1,,0,,,,0,2
5196,0,0,6,,1,,,,0,0
5200,1,1,0,,0,,,1,0,2
5204,2,2,9,,0,1,,,0,2
5205,2,1,5,,0,,,,1,3
5214,0,0,1,,0,,,,1,0
5215,1,0,1,,0,,,,0,1
5218,1,0,2,,2,,,,0,3
5219,2,1,4,,0,,,,3,2
5223,2,1,2,,0,,,,1,4
5227,0,0,1,,0,,,,1,0
5228,0,0,0,,1,,,,1,0
5232,0,0,3,,1,,,,1,0
5233,3,2,3,,2,,,1,4,5
5237,1,1,9,,0,,,,0,1
5243,0,1,2,,1,,,,0,0
5244,3,1,2,,0,,,,0,3
5246,0,3,2,,0,,,,2,0
5247,0,0,0,,0,,,,1,0
5254,2,0,3,,1,,,,0,2
5260,1,0,0,,0,,,,1,2
5266,2,2,3,,1,,,1,2,3
5267,1,0,1,,0,,,,0,1
5268,1,1,4,,0,,1,,0,2
5271,0,0,0,,0,,,,0,0
5273,0,0,1,,0,,,,0,0
5278,0,0,0,,1,,,,0,0
5279,1,0,1,,1,,,1,1,1
5280,1,1,2,,1,,,,1,1
5284,2,4,8,,1,,,,3,2
5291,0,0,1,,0,,,,0,0
5293,0,0,2,,0,,,,1,0
5294,2,3,7,,0,,,,3,3
5295,1,1,5,,0,,,1,1,4
5296,1,1,3,,2,,,,2,1
5297,1,2,6,,0,,,,0,1
5301,0,1,0,,0,,,,0,0
5302,1,0,3,,0,,,,0,1
5305,1,1,3,,0,,,,0,1
5310,0,0,5,,0,,,,0,0
5318,2,0,11,,0,,,,1,3
5325,0,0,1,,0,,,,3,0
5328,1,1,2,,2,1,,,1,1
5329,2,1,5,,1,,,,3,3
5332,0,1,1,,1,,,,1,0
5334,0,1,1,,0,,,,0,0
5335,2,0,13,,0,,,,1,2
5338,0,0,1,,0,,,,0,0
5339,0,1,7,,0,,1,,1,0
5344,1,2,4,,1,,,,2,1
5345,1,1,1,,2,,,,0,2
5351,1,1,8,,0,,,,0,2
5358,2,1,1,,0,,,,0,3
5363,2,2,5,,1,,,,0,2
5364,3,1,7,,1,,,2,1,4
5367,0,2,1,,1,,,,0,0
5368,0,0,3,,1,,,,0,0
5376,2,1,4,,0,,,,3,4
5378,0,0,2,,0,,,,0,0
5381,1,0,0,,0,,,,1,1
5385,0,2,7,,0,,,,1,0
5386,1,1,2,,1,,,,1,2
5387,2,1,2,,0,,,,1,2
5391,2,1,2,,1,,,2,1,4
5395,0,0,0,,0,,,,0,0
5396,2,5,5,,1,,,,1,3
5399,2,0,4,,0,,,,1,2
5401,1,0,1,,0,,,1,0,2
5404,0,2,1,,0,,,,2,0
5412,0,1,11,,0,,,,0,0
5414,1,1,2,,0,,,,1,3
5418,0,0,3,,1,,,,0,0
5422,0,0,1,,1,,,,3,0
5423,0,0,1,,0,,,,0,0
5427,0,0,5,,0,,,,1,0
5428,1,0,1,,1,,,1,0,1
5431,0,1,5,,0,,,,2,0
5434,0,0,1,,0,,,,2,0
5435,0,0,1,,0,,,,0,0
5437,0,0,2,,1,,,,0,0
5438,0,1,4,,1,,,,2,0
5439,0,2,2,,1,,,,1,0
5442,1,0,4,,1,,,,1,1
5443,0,0,4,,1,,,,0,0
5450,1,1,5,,0,,,,2,2
5452,1,1,4,,0,,,,0,1
5455,0,1,1,,2,,,1,0,0
5456,0,0,0,,2,,,,1,0
5461,1,0,7,,1,,,,0,1
5462,0,4,1,,0,,,,0,0
5468,0,3,6,,0,,,,1,0
5471,3,0,1,,1,,,1,0,4
5472,0,3,14,,1,,,,1,0
5477,1,0,2,,0,,,,0,2
5478,1,2,4,,5,,,,3,1
5483,0,0,0,,0,,,,0,0
5488,1,0,4,,1,,,,1,2
5490,0,0,0,,0,,,,0,0
5495,0,2,8,,0,,,,0,0
5501,0,1,4,,0,,,,1,0
5505,0,1,2,,0,,,,2,0
5506,0,0,0,,0,,,,0,0
5509,2,3,1,,1,,,,2,2
5513,1,0,0,,1,,,1,4,2
5516,0,0,1,,0,,,,1,0
5519,4,1,6,,1,,,,2,7
